SUBURB,MEDIAN HOUSE PRICE,GROWTH PERCENTAGE
Nowergup,0,0.00
O'Connor,553000,-0.04
Oakford,827500,-0.04
Ocean Reef,885000,0.14
Oldbury,0,0.00
Orange Grove,670000,0.00
Orelia,325000,0.13
Osborne Park,558500,0.10
Padbury,671000,0.20
Palmyra,772500,0.08
Parkerville,650000,0.25
Parkwood,525000,0.16
Parmelia,315000,0.13
Paulls Valley,0,0.00
Pearsall,475000,0.06
Peel Estate,0,0.00
Peppermint Grove,3700000,0.23
Perth,917500,0.09
Perth Airport,0,0.00
Piara Waters,600000,0.13
Pickering Brook,665500,0.33
Piesse Brook,0,0.00
Pinjar,0,0.00
Port Kennedy,430000,0.15
Postans,0,0.00
Queens Park,450000,0.07
Quinns Rocks,550000,0.04
Red Hill,0,0.00
Redcliffe,485000,0.08
Ridgewood,414000,0.03
Riverton,740000,0.15
Rivervale,617500,0.12
Rockingham,440000,0.04
Roleystone,656000,0.11
Rossmoyne,1375000,0.10
Safety Bay,460000,0.15
Salter Point,1630000,0.21
Samson,715000,0.24
Sawyers Valley,565000,-0.06
Scarborough,908000,0.18
Secret Harbour,490000,0.04
Serpentine,780000,0.21
Seville Grove,370500,0.07
Shelley,975000,0.20
Shenton Park,1711500,0.17
Shoalwater,530000,0.13
Sinagra,525000,0.14
Singleton,520000,0.11
Sorrento,1300000,0.18
South Fremantle,1310000,0.17
South Guildford,616000,0.10
South Lake,480000,0.14
South Perth,1525000,0.05
Southern River,610000,0.06
Spearwood,567000,0.21
St James,558000,0.05
Stirling,960000,0.20
Stoneville,600000,0.22
Stratton,352500,0.10
Subiaco,1627500,0.21
Success,572500,0.11
Swan View,415000,0.05
Swanbourne,2000000,0.18
Tamala Park,0,0.00
Tapping,575000,0.10
The Lakes,0,0.00
The Spectacles,0,0.00
The Vines,765000,0.07
Thornlie,451000,0.15
Treeby,602500,0.18
Trigg,1500000,0.03
Tuart Hill,632500,0.15
Two Rocks,447000,0.12
Upper Swan,790000,0.61
Victoria Park,730000,0.07
Viveash,415000,-0.02
Waikiki,423000,0.21
Walliston,541000,0.06
Wandi,511000,0.03
Wangara,0,0.00
Wanneroo,460000,0.09
Warnbro,395000,0.16
Warwick,680000,0.23
Waterford,1155000,0.03
Watermans Bay,1670000,0.52
Wattle Grove,568500,0.04
Wattleup,0,0.00
Wellard,425000,0.02
Welshpool,0,0.00
Wembley,1420000,0.19
Wembley Downs,1355000,0.18
West Leederville,1419000,0.26
West Perth,835000,0.06
West Swan,870000,0.09
Westminster,399000,0.11
Whitby,422500,0.16
White Gum Valley,881620,0.12
Whiteman,0,0.00
Wilbinga,0,0.00
Willagee,657500,0.18
Willetton,875000,0.18
Wilson,591000,0.07
Winthrop,997500,0.11
Woodbridge,630000,0.12
Woodlands,1250000,0.24
Woodvale,760000,0.15
Wooroloo,392000,0.17
Wungong,0,0.00
Yanchep,465000,0.09
Yangebup,523500,0.13
Yokine,690000,0.03
